fullspp,habitat,reef,seagrass,sand,pelagic,ref_1,ref_2
Apogonidae..spp,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,SIMILAR SPP,
Apogonidae.Ostorhinchus.rueppellii,reef,TRUE,FALSE,FALSE,FALSE,"https://fishesofaustralia.net.au/home/species/1604#:~:text=A%20pale%20brownish%20to%20greyish,dorsal%20fins%2C%20and%20yellowish%20pelvic",https://www.fishbase.se/summary/ostorhinchus-rueppellii
Apogonidae.Ostorhinchus.spp,reef,TRUE,FALSE,FALSE,FALSE,SIMILAR SPP,
Apogonidae.Ostorhinchus.victoriae,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1611#summary,https://www.fishbase.se/summary/14832
Apogonidae.Siphamia.cephalotes,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,"https://fishesofaustralia.net.au/home/species/4232#:~:text=Summary%3A,and%20a%20coppery%20midlateral%20stripe.",https://www.fishbase.se/summary/siphamia-cephalotes
Aracanidae..spp,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,SIMILAR SPP,
Aracanidae.Anoplocapros.amygdaloides,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2472,https://www.fishbase.se/summary/Anoplocapros-amygdaloides.html
Aracanidae.Anoplocapros.lenticularis,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/832,https://www.fishbase.se/summary/Anoplocapros-lenticularis.html
Aracanidae.Aracana.aurita,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/833,https://www.fishbase.se/summary/aracana-aurita
Aracanidae.Caprichthys.gymnura,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2473,https://fishbase.se/summary/caprichthys-gymnura
Arripidae.Arripis.georgianus,"pelagic, seagrass, reef",TRUE,TRUE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/405,https://www.fishbase.se/summary/Arripis-georgianus
Arripidae.Arripis.truttaceus,pelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/407,https://www.fishbase.se/summary/Arripis-truttacea
Aulopidae.Latropiscis.purpurissatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2771,https://fishbase.se/summary/Latropiscis-purpurissatus
Berycidae.Centroberyx.lineatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3744,https://www.fishbase.se/summary/Centroberyx-lineatus.html
Blenniidae.Unknown.spp,reef,TRUE,FALSE,FALSE,FALSE,,https://fishbase.se/Summary/FamilySummary.php?ID=392
Caesioscorpididae.Caesioscorpis.theagenes,reef,TRUE,FALSE,FALSE,FALSE,https://www.fishbase.se/summary/Caesioscorpis-theagenes,https://www.fishbase.se/summary/Caesioscorpis-theagenes
Carangidae..sp1,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/family/15,https://www.fishbase.se/summary/FamilySummary.php?ID=314
Carangidae..spp,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/family/15,https://www.fishbase.se/summary/FamilySummary.php?ID=314
Carangidae.Pseudocaranx.spp,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/family/15,https://www.fishbase.se/summary/FamilySummary.php?ID=314
Carangidae.Seriola.hippos,"reef, pelagic",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/1661,https://fishbase.se/summary/seriola-hippos
Carangidae.Seriola.lalandi,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/1662,https://www.fishbase.se/summary/Seriola-lalandi.html
Carangidae.Trachurus.novaezelandiae,"sand, reef",TRUE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/1665#summary,https://www.fishbase.se/summary/trachurus-novaezelandiae
Carangidae.Trachurus.spp,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/family/15,https://www.fishbase.se/summary/FamilySummary.php?ID=314
Carcharhinidae.Carcharhinus.brachyurus,pelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/2883,https://www.fishbase.se/summary/carcharhinus-brachyurus
Carcharhinidae.Carcharhinus.brevipinna,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/2884,https://www.fishbase.se/summary/Carcharhinus-brevipinna
Carcharhinidae.Carcharhinus.limbatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1949,https://www.fishbase.se/summary/Carcharhinus-limbatus.html
Carcharhinidae.Carcharhinus.obscurus,pelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/1953,https://www.fishbase.se/summary/carcharhinus-obscurus
Carcharhinidae.Carcharhinus.spp,"pelagic, reef",TRUE,FALSE,FALSE,TRUE,SIMILAR SPP,
Carcharhinidae.Galeocerdo.cuvier,pelagic,FALSE,FALSE,FALSE,TRUE,https://fishesofaustralia.net.au/home/species/1959#moreinfo,https://www.fishbase.se/summary/galeocerdo-cuvier.html
Chaetodontidae.Chelmonops.curiosus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2408,https://www.fishbase.se/summary/chelmonops-curiosus
Cheilodactylidae.Cheilodactylus.gibbosus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2417,https://www.fishbase.se/summary/Goniistius_gibbosus.html
Cheilodactylidae.Dactylophora.nigricans,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/431,https://www.fishbase.se/summary/dactylophora-nigricans
Cheilodactylidae.Nemadactylus.valenciennesi,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/434,https://www.fishbase.se/summary/nemadactylus-valenciennesi
Dasyatidae.Bathytoshia.brevicaudata,"reef, sand",TRUE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/2020#moreinfo,https://www.fishbase.se/summary/bathytoshia-brevicaudata
Dasyatidae.Bathytoshia.lata,sand,FALSE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/3526,https://www.fishbase.se/summary/Bathytoshia_lata.html
Delphinidae..spp,,FALSE,FALSE,FALSE,FALSE,,
Dinolestidae.Dinolestes.lewini,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/4241,https://www.fishbase.se/summary/4332
Enoplosidae.Enoplosus.armatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/445,https://www.fishbase.se/summary/Enoplosus-armatus.html
Gerreidae.Parequula.melbournensis,"sand, seagrass",FALSE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/448,https://www.fishbase.se/summary/Parequula-melbournensis.html
Girellidae.Girella.zebra,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/470,https://www.fishbase.se/summary/Girella-zebra.html
Glaucosomatidae.Glaucosoma.hebraicum,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/4615,https://www.fishbase.se/summary/glaucosoma-hebraicum
Gonorynchidae.Gonorynchus.greyi,"sand, pelagic",FALSE,FALSE,TRUE,TRUE,https://fishesofaustralia.net.au/home/species/1853,https://www.fishbase.se/summary/Gonorynchus-greyi
Haemulidae.Plectorhinchus.flavomaculatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/454,https://www.fishbase.se/summary/Plectorhinchus-flavomaculatus
Hemiramphidae..spp,?,FALSE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/family/182,https://www.fishbase.se/summary/FamilySummary.php?ID=475
Heterodontidae.Heterodontus.portusjacksoni,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/1982#moreinfo,https://www.fishbase.se/summary/Heterodontus-portusjacksoni
Kyphosidae.Kyphosus.spp,?,FALSE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/genus/751,https://fishbase.se/summary/FamilySummary.php?ID=339
Labridae..sp1,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Labridae..sp2,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Labridae..spp,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/family/106,
Labridae.Achoerodus.gouldii,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/206,https://www.fishbase.se/summary/Achoerodus-gouldii
Labridae.Austrolabrus.maculatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/208,https://fishbase.se/summary/Austrolabrus-maculatus.html
Labridae.Bodianus.frenchii,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/213,https://www.fishbase.se/summary/bodianus-frenchii
Labridae.Choerodon.rubescens,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1927,https://www.fishbase.se/summary/25756
Labridae.Coris.auricularis,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1932,https://www.fishbase.se/summary/25769
Labridae.Dotalabrus.aurantiacus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/228,https://www.fishbase.se/summary/dotalabrus-aurantiacus
Labridae.Eupetrichthys.angustipes,"reef, sand",TRUE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/2287,https://www.fishbase.se/summary/Eupetrichthys-angustipes
Labridae.Haletta.semifasciata,"seagrass, sand",FALSE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/298#moreinfo,https://www.fishbase.se/summary/Haletta-semifasciata.html
Labridae.Halichoeres.brownfieldi,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/230,https://fishbase.se/summary/halichoeres-brownfieldi
Labridae.Heteroscarus.acroptilus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/300,https://www.fishbase.se/summary/heteroscarus-acroptilus
Labridae.Notolabrus.parilus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/256,https://www.fishbase.se/summary/46823
Labridae.Notolabrus.sp2,reef,TRUE,FALSE,FALSE,FALSE,SIMILAR SPP,
Labridae.Olisthops.cyanomelas,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/301,https://www.fishbase.se/summary/Olisthops_cyanomelas.html
Labridae.Ophthalmolepis.lineolatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/260,https://www.fishbase.se/summary/Ophthalmolepis-lineolata
Labridae.Pictilabrus.laticlavius,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/265,https://www.fishbase.se/summary/Pictilabrus-laticlavius
Labridae.Pictilabrus.spp,reef,TRUE,FALSE,FALSE,FALSE,SIMILAR SPP,
Labridae.Pseudolabrus.biserialis,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/271,https://www.fishbase.se/summary/46934
Labridae.Siphonognathus.attenuatus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/302,https://www.fishbase.se/summary/siphonognathus-attenuatus
Labridae.Siphonognathus.caninis,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/304,https://fishbase.se/summary/Siphonognathus_caninis.html
Labridae.Siphonognathus.radiatus,seagrass,FALSE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/305,https://fishbase.se/summary/Siphonognathus-radiatus
Labridae.Siphonognathus.spp,seagrass,FALSE,TRUE,FALSE,FALSE,SIMILAR SPP,
Labridae.Suezichthys.cyanolaemus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1260,https://fishbase.se/summary/Suezichthys-cyanolaemus
Loliginidae.Sepioteuthis.australis,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/23bd61f2-4c6f-4d7a-b63d-05295d9a2dc5,
Microcanthidae.Neatypus.obliquus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/2445,https://www.fishbase.se/summary/neatypus-obliquus
Microcanthidae.Tilodon.sexfasciatus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/527,https://www.fishbase.se/summary/Tilodon-sexfasciatus.html
Monacanthidae..sp,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Monacanthidae..spp,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Monacanthidae.Acanthaluteres.brownii,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/789,https://fishbase.se/summary/Acanthaluteres-brownii.html
Monacanthidae.Acanthaluteres.sp1,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Monacanthidae.Acanthaluteres.spp,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,SIMILAR SPP,
Monacanthidae.Acanthaluteres.vittiger,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/788,https://www.fishbase.se/summary/14550
Monacanthidae.Brachaluteres.jacksonianus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/5647,https://www.fishbase.se/summary/Brachaluteres_jacksonianus.html
Monacanthidae.Chaetodermis.penicilligerus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/800,https://www.fishbase.se/summary/chaetodermis-penicilligerus
Monacanthidae.Eubalichthys.cyanoura,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/4192,https://fishbase.se/summary/Eubalichthys-cyanoura
Monacanthidae.Eubalichthys.mosaicus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/803,https://www.fishbase.se/summary/Eubalichthys-mosaicus.html
Monacanthidae.Meuschenia.flavolineata,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1283,https://www.fishbase.se/summary/Meuschenia-flavolineata
Monacanthidae.Meuschenia.freycineti,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/805,https://www.fishbase.se/summary/Meuschenia-freycineti
