opcode,system_number,latitude_dd,longitude_dd,date_time,site,location,status,zone,jurisdiction,depth_m,observer_count,observer_length,successful_count,successful_length,FishNClips,video_notes,left_camera,right_camera,rear_camera,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forwards,successful_habitat_backwards,observer_habitat_forwards,observer_habitat_backwards,maxn_complete_date,maxn_checker,length_complete_date,comment,ip
SWC-BV-017,1,-33.95944142,114.9055773,2024-10-23T07:53:26+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,48,Daniel Agnello,,Yes,,Yes,,15,16,89,Yes,,,,,,10/1/2025,,,,0.00000009355631566
SWC-BV-073,2,-33.98284833,114.875235,2024-10-23T08:07:04+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,40.2,Daniel Agnello,,Yes,,Yes,"ID help letherjacket. After period ends bigschools of snapper, sambos and kingfish",17,18,90,Yes,,,,,,10/1/2024,,,,0.00000009355631566
SWC-BV-004,3,-33.99687,114.85819,2024-10-23T08:16:09+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,43.7,Daniel Agnello,,Yes,,Yes,,19,20,91,Yes,,,,,,17/01/2025,,,2 ID's to check,0.00000009355631566
SWC-BV-132,4,-34.00576,114.8179467,2024-10-23T08:29:57+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.6,Daniel Agnello,,Yes,,Yes,Baitbag gone on retrieval,21,22,92,Yes,,,,,,17/01/2025,,,,0.000002954282623
SWC-BV-036,5,-34.00564167,114.811545,2024-10-23T08:34:25+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,49.9,,,,No,Yes,Left camera stopped recording before drop,23,24,93,Yes,,,,,,,,,MaxN with right camera file,0.0000006540014967
SWC-BV-088,6,-33.99623667,114.8185317,2024-10-23T08:40:15+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45.5,Daniel Agnello,,Yes,,Yes,,95,96,94,Yes,,,,,,24/01/2025,,,,0.000002954282623
SWC-BV-112,7,-33.982125,114.8287233,2024-10-23T08:48:19+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,44.1,Daniel Agnello,,Yes,,Yes,,27,28,97,Yes,,,,,,24/01/2025,,,2 ID's to check,0.00000009355631566
SWC-BV-124,8,-33.981775,114.8088833,2024-10-23T08:56:43+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,49,Daniel Agnello,,Yes,,Yes,,29,30,98,Yes,,,,,,24/01/2025,,,,0.000002954282623
SWC-BV-020,9,-33.96738667,114.8125133,2024-10-23T09:03:32+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.2,Daniel Agnello,,Yes,,Yes,,31,32,99,Yes,,,,,,28/01/2025,,,hammerhead,0.00000009355631566
SWC-BV-076,10,-33.9628,114.822585,2024-10-23T09:08:07+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,45.4,Daniel Agnello,,Yes,,Yes,"Rope in view of left cam, habitat and fishnclipz taken from right cam",33,34,00,Yes,,,,,,14/02/2025,,annotated right cam. measurements are still possible using left,,0.00000009355631566
SWC-BV-008,1,-33.96159333,114.7563833,2024-10-23T11:23:54+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,60.5,Daniel Agnello,,Yes,,Yes,,15,16,89,Yes,,,,,,28/01/2025,,,,0.0000006540014967
SWC-BV-128,2,-33.96126833,114.7427333,2024-10-23T11:29:13+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,78.2,Daniel Agnello,,Yes,,Yes,,17,18,90,Yes,,,,,,28/01/2025,,,,0.0000006540014967
SWC-BV-092,3,-33.96636167,114.746405,2024-10-23T11:34:21+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,69.2,Daniel Agnello,,Yes,,Yes,,19,20,91,Yes,,,,,,07/02/2025,,,Decorator crab,0.0000006540014967
SWC-BV-040,4,-33.96620667,114.7526717,2024-10-23T11:37:40+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,60.4,Daniel Agnello,,Yes,,Yes,,21,22,92,Yes,,,,,,07/02/2025,,,,0.000002954282623
SWC-BV-116,5,-33.96647833,114.76603,2024-10-23T11:43:04+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,60.2,Daniel Agnello,,Yes,,Yes,,23,24,93,Yes,,,,,,07/02/2025,,,,0.00000009355631566
SWC-BV-136,6,-33.97577667,114.74587,2024-10-23T11:52:13+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,71.2,Daniel Agnello,,Yes,,Yes,,95,96,94,Yes,,,,,,07/02/2025,,,,0.000002954282623
SWC-BV-156,7,-33.976115,114.7592433,2024-10-23T11:57:19+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,61.4,Ryan Simms,,Yes,,Yes,,27,28,97,Yes,,,,,,14/01/2025,,,,0.000002954282623
SWC-BV-104,8,-33.98542833,114.74579,2024-10-23T12:05:28+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,72.4,Ryan Simms,,Yes,,Yes,,29,30,98,Yes,,,,,,14/01/2025,,,,0.000002954282623
SWC-BV-056,9,-33.98543542,114.752532,2024-10-23T12:08:36+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,63.1,Ryan Simms,,Yes,,Yes,,31,32,99,Yes,,,,,,14/01/2025,,,,0.000002954282623
SWC-BV-024,10,-33.985825,114.7789667,2024-10-23T12:17:08+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,54.8,Ryan Simms,,Yes,,Yes,,33,34,00,Yes,,,,,,14/01/2025,,,,0.00000009355631566
SWC-BV-052,1,-33.99987667,114.7619417,2024-10-23T13:45:14+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,63.1,Ryan Simms,,Yes,,Yes,,15,16,89,Yes,,,,,,21/01/2025,,,,0.0000006540014967
SWC-BV-144,2,-34.00449167,114.7519883,2024-10-23T13:51:10+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,69,Ryan Simms,,Yes,,Yes,,17,18,90,Yes,,,,,,21/01/2025,,,,0.0000006540014967
SWC-BV-068,3,-34.00923,114.7485533,2024-10-23T13:54:47+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,81.4,Ryan Simms,,Yes,,Yes,,19,20,91,Yes,,,,,,21/01/2025,,,,0.000002954282623
SWC-BV-100,4,-34.01904333,114.7613367,2024-10-23T14:00:52+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,64.5,Ryan Simms,,Yes,,Yes,,21,22,92,Yes,,,,,,21/01/2025,,,,0.000002954282623
SWC-BV-176,5,-34.01449167,114.7715483,2024-10-23T14:05:47+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,60.4,Ryan Simms,,Yes,,Yes,,23,24,93,Yes,,,,,,21/01/2025,,,,0.00000009355631566
SWC-BV-IO338,1,-33.97207333,114.9225317,2024-10-24T10:22:10+08:00,,South-west Corner,Fished,General Use Zone,State,47.6,Ryan Simms,,Yes,,Yes,,15,16,89,Yes,,,,,,,,,,
SWC-BV-121,2,-33.98774333,114.8919767,2024-10-24T10:34:27+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,42.9,Ryan Simms,,Yes,,Yes,,17,18,90,Yes,,,,,,22/01/2025,,,,0.0000006540014967
SWC-BV-001,3,-33.99735667,114.8979083,2024-10-24T10:41:26+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,46.8,Ryan Simms,,Yes,,Yes,,19,20,91,Yes,,,,,,23/01/2025,,,,0.0000006540014967
SWC-BV-033,4,-34.01185225,114.8877711,2024-10-24T10:48:49+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,44.2,Ryan Simms,,Yes,,Yes,,21,22,92,Yes,,,,,,24/01/2025,,,,0.00000009355631566
SWC-BV-109,5,-34.00771333,114.9241333,2024-10-24T11:00:05+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.2,Ryan Simms,,Yes,,Yes,,23,24,93,Yes,,,,,,24/01/2025,,,,0.00000009355631566
SWC-BV-129,6,-34.03160775,114.9204189,2024-10-24T11:09:59+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,47.7,,,,No,,Right camera stops after 8 minutes,95,96,94,,,,,,,06/03/2025,,,,0.00000009355631566
SWC-BV-097,7,-34.05523833,114.923055,2024-10-24T11:19:33+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,48.2,Ryan Simms,,Yes,,Yes,,27,28,97,Yes,,,,,,28/01/2025,,,,0.00000009355631566
SWC-BV-IO355,8,-34.054775,114.91129,2024-10-24T11:28:22+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,46.8,Ryan Simms,,Yes,,Yes,,29,30,98,Yes,,,,,,28/01/2025,,,,
SWC-BV-049,9,-34.05513667,114.9034717,2024-10-24T11:31:43+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43.6,Ryan Simms,,Yes,,Yes,,31,32,99,Yes,,,,,,29/01/2025,,,,0.0000006540014967
SWC-BV-IOC05,10,-34.05391833,114.90003,2024-10-24T11:33:49+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43.2,Ryan Simms,,Yes,,Yes,,33,34,00,Yes,,,,,,29/01/2025,,,,
SWC-BV-IOC06,1,-34.04883301,114.8763836,2024-10-24T13:45:34+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,43,Ryan Simms,,Yes,,Yes,,15,16,89,Yes,,,,,,29/01/2025,,,,
SWC-BV-173,2,-34.06897333,114.8664083,2024-10-24T13:55:28+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,41,Ryan Simms,,Yes,,Yes,,17,18,90,Yes,,,,,,29/01/2025,,,,0.00000009355631566
SWC-BV-IO354,3,-34.06582833,114.83994,2024-10-24T14:03:50+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43.5,Ryan Simms,,Yes,,Yes,,19,20,91,Yes,,,,,,31/01/2025,,,,
SWC-BV-168,4,-34.07312241,114.836445,2024-10-24T14:08:05+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.9,Ryan Simms,,Yes,,Yes,,21,22,92,Yes,,,,,,31/01/2025,,,,0.00000009355631566
SWC-BV-048,5,-34.08258667,114.836235,2024-10-24T14:12:38+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.3,Ryan Simms,,Yes,,Yes,,23,24,93,Yes,,,,,,31/01/2025,,,,0.00000009355631566
SWC-BV-180,6,-34.08199333,114.809755,2024-10-24T14:23:13+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,50.1,Ryan Simms,,Yes,,Yes,,95,96,94,Yes,,,,,,03/02/2025,,,,0.0000006540014967
SWC-BV-152,7,-34.06753333,114.7935567,2024-10-24T14:30:57+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,56,Ryan Simms,,Yes,,Yes,,27,28,97,Yes,,,,,,05/02/2025,,,,0.0000006540014967
SWC-BV-064,8,-34.05331167,114.8036317,2024-10-24T14:37:22+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,51.4,Ryan Simms,,Yes,,Yes,,29,30,98,Yes,,,,,,07/02/2025,,,,0.0000006540014967
SWC-BV-096,9,-34.05368667,114.8302283,2024-10-24T14:45:47+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,47.1,Ryan Simms,,Yes,,Yes,,31,32,99,Yes,,,,,,13/02/2025,,,,0.00000009355631566
SWC-BV-IO353,10,-34.054515,114.8391217,2024-10-24T14:51:51+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.4,Ryan Simms,,Yes,,Yes,,33,34,00,Yes,,,,,,13/02/2025,,,,
SWC-BV-172,1,-34.02439167,114.7978633,2024-10-25T07:04:58+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,51.9,Annika Leunig,,Yes,,Yes,,15,16,89,Yes,,,,,,21/01/25,,,,0.00000009355631566
SWC-BV-108,2,-34.028725,114.76801,2024-10-25T07:15:36+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,60.1,Annika Leunig,,Yes,,Yes,,17,18,90,Yes,,,,,,21/01/25,,,,0.00000009355631566
SWC-BV-012,3,-34.01370833,114.725205,2024-10-25T07:29:29+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,114,Annika Leunig,,Yes,,Yes,,19,20,91,Yes,,,,,,22/01/25,,,,0.00000009355631566
SWC-BV-120,4,-34.03763833,114.7210417,2024-10-25T07:48:09+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,118.1,Zach Howman,,Yes,,Yes,,21,22,92,Yes,,,,,,22/01/25,,,check neosebastus pandus,0.00000009355631566
SWC-BV-032,5,-34.03795,114.7410483,2024-10-25T07:55:56+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,100.6,Annika Leunig,,Yes,,Yes,,23,24,93,Yes,,,,,,28/01/25,,,,0.0000006540014967
SWC-BV-060,6,-34.03820667,114.7544,2024-10-25T08:01:35+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,80.5,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,28/01/25,,,,0.000002954282623
SWC-BV-016,7,-34.0428391,114.7575743,2024-10-25T08:06:29+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,79.6,Annika Leunig,,Yes,No,Yes,no right camera,27,28,97,Yes,,,,,,28/01/25,,,,0.0000006540014967
SWC-BV-084,8,-34.05230833,114.75046,2024-10-25T08:13:00+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,92.1,Annika Leunig,,Yes,,Yes,,29,30,98,Yes,,,,,,28/01/25,,,,0.0000006540014967
SWC-BV-072,9,-34.05273833,114.7707217,2024-10-25T08:20:21+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,66.7,Annika Leunig,,Yes,,Yes,,31,32,99,Yes,,,,,,28/01/25,,,,0.000002954282623
SWC-BV-148,10,-34.038525,114.7742483,2024-10-25T08:26:55+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,59,Annika Leunig,,Yes,,Yes,,33,34,00,Yes,,,,,,29/01/25,,,,0.0000006540014967
SWC-BV-160,1,-34.06217,114.7637167,2024-10-25T10:11:13+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,77.8,Annika Leunig,,Yes,,Yes,,15,16,89,Yes,,,,,,31/01/25,,,,0.000002954282623
SWC-BV-164,2,-34.06213,114.7701183,2024-10-25T10:14:27+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,70.4,Annika Leunig,,Yes,,Yes,,17,18,90,Yes,,,,,,31/01/25,,,,0.000002954282623
SWC-BV-028,3,-34.06717104,114.7735358,2024-10-25T10:19:08+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,65,Annika Leunig,,Yes,,Yes,,19,20,91,Yes,,,,,,31/01/25,,,,0.000002954282623
SWC-BV-080,4,-34.071875,114.7767083,2024-10-25T10:22:22+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,63.5,Annika Leunig,,Yes,,Yes,B.brevicaudata movesBRUV at around 46 mins,21,22,92,Yes,,,,,,31/01/25,,,,0.0000006540014967
SWC-BV-044,5,-34.08135167,114.7764283,2024-10-25T10:27:49+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,65,Annika Leunig,,Yes,,Yes,,23,24,93,Yes,,,,,,03/02/25,,,,0.0000006540014967
SWC-BV-140,6,-34.08125833,114.76973,2024-10-25T10:31:40+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,80.1,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,03/02/25,,,,0.000002954282623
SWC-BV-098,7,-34.09092667,114.7762167,2024-10-25T10:37:23+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,69.9,,,,No,,no right camera,27,28,97,,,,,,,,,,,0.00000009355631566
SWC-BV-174,8,-34.09577333,114.7793433,2024-10-25T10:41:24+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,66.5,Annika Leunig,,Yes,,Yes,,29,30,98,Yes,,,,,,03/02/25,,,,0.000002954282623
SWC-BV-050,9,-34.10048,114.7760067,2024-10-25T10:45:56+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,75.2,Annika Leunig,,Yes,,Yes,,31,32,99,Yes,,,,,,03/02/25,,,2 ids to check,0.000002954282623
SWC-BV-022,10,-34.09500761,114.7463791,2024-10-25T10:58:00+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,114,Annika Leunig,,No,,Yes,BRUV tips over on its side at 9 mins,33,34,00,Yes,,,,,,,,,,0.00000009355631566
SWC-BV-114,1,-34.115205,114.7855317,2024-10-25T12:35:35+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,63.4,Annika Leunig,,Yes,,Yes, ,15,16,89,Yes,,,,,,03/02/25,,,,0.000002954282623
SWC-BV-006,2,-34.11949667,114.76199,2024-10-25T12:45:24+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,105,Annika Leunig,,Yes,,Yes,,17,18,90,Yes,,,,,,07/02/25,,,,0.0000006540014967
SWC-BV-154,3,-34.12004333,114.78209,2024-10-25T12:52:42+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,72.4,Annika Leunig,,Yes,,Yes,showed wrong op code at start,19,20,91,Yes,,,,,,07/02/25,,,,0.000002954282623
SWC-BV-117,4,-34.12011,114.7886383,2024-10-25T12:56:34+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,62.2,Annika Leunig,,Yes,,Yes,,21,22,92,Yes,,,,,,07/02/25,,,,0.0000006540014967
SWC-BV-029,5,-34.12493,114.791825,2024-10-25T13:01:04+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,62.4,Annika Leunig,,Yes,,Yes, ,23,24,93,Yes,,,,,,07/02/25,,,,0.000002954282623
SWC-BV-081,6,-34.12974333,114.79502,2024-10-25T13:05:48+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,64,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,07/02/25,,,,0.0000006540014967
SWC-BV-093,7,-34.13933,114.8013983,2024-10-25T13:12:45+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,60,,,,No,,no right camera,27,28,97,,,,,,,,,,,0.0000006540014967
SWC-BV-169,8,-34.13922,114.7948133,2024-10-25T13:17:13+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,62.1,Annika Leunig,,Yes,,Yes,,29,30,98,Yes,,,,,,10/02/25,,,,0.000002954282623
SWC-BV-045,9,-34.13914,114.7881283,2024-10-25T13:22:29+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,71.2,Annika Leunig,,Yes,,Yes,showed wrong op code at the start,31,32,99,Yes,,,,,,10/02/25,,,needs checks,0.000002954282623
SWC-BV-002,10,-34.13439333,114.784965,2024-10-25T13:27:04+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,74.2,Annika Leunig,,Yes,,Yes,,33,34,00,Yes,,,,,,10/02/25,,,,0.0000006540014967
SWC-BV-005,1,-34.08801833,114.8658917,2024-10-26T07:20:41+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,42,Zach Howman,,Yes,,Yes,check unknown,15,16,89,Yes,,,,,,23/01/2025,,,,0.00000009355631566
SWC-BV-139,2,-34.09752167,114.859045,2024-10-26T07:27:34+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43,Zach Howman,,Yes,,Yes,BRUV facing upwards slightly,17,18,90,Yes,,,,,,29/01/2025,,,,0.0000006540014967
SWC-BV-105,3,-34.09211548,114.8426623,2024-10-26T07:36:00+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,44.7,Zach Howman,,Yes,,Yes,B. brevicaudata bites off bait bag @ 25 mins into period,19,20,91,Yes,,,,,,29/01/2025,,,,0.0000006540014967
SWC-BV-057,4,-34.10162833,114.8290183,2024-10-26T07:44:19+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,48.3,Zach Howman,,Yes,,Yes,check unknown,21,22,92,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-069,5,-34.10119524,114.8092355,2024-10-26T07:53:10+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,51.6,Zach Howman,,Yes,,Yes,check caesioperca sp1,23,24,93,Yes,,,,,,06/02/2025,,,,0.0000006540014967
SWC-BV-145,6,-34.11601833,114.8318733,2024-10-26T08:04:35+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,47.2,Zach Howman,,Yes,,Yes,check A. maculatus,95,96,94,Yes,,,,,,13/02/2025,,,,0.0000006540014967
SWC-BV-013,7,-34.11619167,114.8386383,2024-10-26T08:08:51+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,46.8,Zach Howman,,Yes,,Yes,,27,28,97,Yes,,,,,,13/02/2025,,,,0.00000009355631566
SWC-BV-161,8,-34.12578333,114.8383867,2024-10-26T08:15:49+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,45.9,Zach Howman,,Yes,,Yes,check N. parilus,29,30,98,Yes,,,,,,13/02/2025,,,,0.0000006540014967
SWC-BV-107,9,-34.13110667,114.8746383,2024-10-26T08:30:15+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,41.7,Zach Howman,,Yes,,Yes,"Left camera stopped recording, changed sd card to 156",31,32,99,Yes,,,,,,13/02/2025,,,,0.0000006540014967
SWC-BV-059,10,-34.11187,114.8619617,2024-10-26T08:39:58+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,43,Zach Howman,,Yes,,Yes,bait bag obstructed by macro-algae,33,34,00,Yes,,,,,,20/02/2025,,,,0.0000006540014967
SWC-BV-149,1,-34.14441,114.8112867,2024-10-26T10:38:28+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,57.8,Annika Leunig,,Yes,,Yes,,15,16,89,Yes,,,,,,10/02/25,,,,0.000002954282623
SWC-BV-034,2,-34.14379,114.7849083,2024-10-26T10:48:47+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,85,Annika Leunig,,Yes,,Yes,,17,18,90,Yes,,,,,,10/02/25,,,,0.000002954282623
SWC-BV-122,3,-34.13914667,114.781565,2024-10-26T10:53:15+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,88.1,Annika Leunig,,Yes,,Yes,check A. occidus,19,20,91,Yes,,,,,,10/02/25,,,,0.0000006540014967
SWC-BV-018,4,-34.14374167,114.7715717,2024-10-26T11:01:25+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,101.2,Annika Leunig,,Yes,,Yes,,21,22,92,Yes,,,,,,12/02/25,,,,0.000002954282623
SWC-BV-074,5,-34.138775,114.7681683,2024-10-26T11:05:53+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,104.7,Annika Leunig,,Yes,,Yes,,23,24,93,Yes,,,,,,12/02/25,,,,0.000002954282623
SWC-BV-110,6,-34.148305,114.7615033,2024-10-26T11:13:44+08:00,,South-west Corner,No-take,National Park Zone,Commonwealth,116.3,Annika Leunig,,Yes,,Yes,,95,96,94,Yes,,,,,,12/02/25,,,,0.0000006540014967
SWC-BV-086,7,-34.153395,114.7778083,2024-10-26T11:21:18+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,96.6,Annika Leunig,,Yes,,Yes,,27,28,97,Yes,,,,,,12/02/25,,,,0.000002954282623
SWC-BV-130,8,-34.15353833,114.7845667,2024-10-26T11:25:21+08:00,,South-west Corner,Fished,Special Purpose Zone,Commonwealth,89.5,Annika Leunig,,Yes,,Yes,,29,30,98,Yes,,,,,,12/02/25,,,,0.000002954282623
